country,slug,alert_status
Azerbaijan,azerbaijan,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Papua New Guinea,papua-new-guinea,avoid_all_but_essential_travel_to_parts
Federated States of Micronesia,federated-states-of-micronesia,No alert status
China,china,No alert status
Botswana,botswana,No alert status
Burundi,burundi,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Bangladesh,bangladesh,avoid_all_but_essential_travel_to_parts
Indonesia,indonesia,avoid_all_travel_to_parts
Philippines,philippines,avoid_all_travel_to_parts
New Caledonia,new-caledonia,No alert status
Thailand,thailand,avoid_all_but_essential_travel_to_parts
Mauritius,mauritius,No alert status
Turkey,turkey,avoid_all_travel_to_parts
Libya,libya,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Gabon,gabon,No alert status
Antarctica/British Antarctic Territory,antarctica-british-antarctic-territory,No alert status
South Sudan,south-sudan,avoid_all_travel_to_whole_country
Sudan,sudan,avoid_all_travel_to_parts
Democratic Republic of the Congo,democratic-republic-of-the-congo,avoid_all_travel_to_parts
Angola,angola,avoid_all_but_essential_travel_to_parts
Afghanistan,afghanistan,avoid_all_travel_to_whole_country
Cyprus,cyprus,No alert status
Australia,australia,No alert status
Tonga,tonga,No alert status
Myanmar (Burma),myanmar,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Portugal,portugal,No alert status
Romania,romania,No alert status
Slovakia,slovakia,No alert status
South Africa,south-africa,No alert status
Mexico,mexico,avoid_all_but_essential_travel_to_parts
Sweden,sweden,No alert status
Iceland,iceland,No alert status
Norway,norway,No alert status
Liechtenstein,liechtenstein,No alert status
Switzerland,switzerland,No alert status
Tanzania,tanzania,avoid_all_but_essential_travel_to_parts
Austria,austria,No alert status
Bulgaria,bulgaria,No alert status
Croatia,croatia,No alert status
Czech Republic,czech-republic,No alert status
Denmark,denmark,No alert status
France,france,No alert status
Lithuania,lithuania,No alert status
Poland,poland,No alert status
Germany,germany,No alert status
Estonia,estonia,No alert status
Finland,finland,No alert status
Hungary,hungary,No alert status
Greece,greece,No alert status
Latvia,latvia,No alert status
Luxembourg,luxembourg,No alert status
Malta,malta,No alert status
Netherlands,netherlands,No alert status
Brunei,brunei,No alert status
Taiwan,taiwan,No alert status
Kyrgyzstan,kyrgyzstan,No alert status
Malaysia,malaysia,avoid_all_but_essential_travel_to_parts
